id_cosecha,fecha,vivero,color,tamano_cm,cantidad_paquetes,trabajador
1,2026-01-07,Vivero Llagamarca 1,Rojo,80,8,Juan Perez
2,2026-01-07,Vivero Llagamarca 1,Amarillo,50,7,Juan Perez
3,2026-01-07,Vivero Llagamarca 1,Rosado,50,23,Maria Rojas
4,2026-01-07,Vivero Llagamarca 1,Rojo,80,23,Maria Rojas
5,2026-01-07,Vivero Llagamarca 2,Rojoo,60,18,Juan Perez
6,2026-01-07,Vivero Llagamarca 2,Amarillo,50,23,Maria Rojas
7,2026-01-07,Vivero Llagamarca 2,Rojo,80,6,Lucia Vega
8,2026-01-07,Vivero Llagamarca 2,Rosado,60,19,Lucia Vega
9,2026-01-06,Vivero Llagamarca 1,Amarillo,50,27,Juan Perez
10,2026-01-06,Vivero Llagamarca 1,Rosado,60,28,Juan Perez
11,2026-01-06,Vivero Llagamarca 1,Rosad0,50,29,Lucia Vega
12,2026-01-06,Vivero Llagamarca 1,Rojo,80,23,Pedro Diaz
13,2026-01-06,Vivero Llagamarca 2,Blanco,80,20,Lucia Vega
14,2026-01-06,Vivero Llagamarca 2,ROJO,60,20,Juan Perez
15,2026-01-06,Vivero Llagamarca 2,Blanc0,80,23,Lucia Vega
16,2026-01-06,Vivero Llagamarca 2,Rosado,80,,Lucia Vega
17,2026-01-08,Vivero Llagamarca 1,Rojo,60,6,Pedro Diaz
18,2026-01-08,Vivero Llagamarca 1,amarillo ,60,17,Lucia Vega
19,2026-01-08,Vivero Llagamarca 1,AMARILLO,60,22,Maria Rojas
20,2026-01-08,Vivero Llagamarca 1,Blanco,80,18,Lucia Vega
21,2026-01-08,Vivero Llagamarca 2,Amarillo,50,10,Maria Rojas
22,2026-01-08,Vivero Llagamarca 2,Rojoo,60,,Lucia Vega
23,2026-01-08,Vivero Llagamarca 2,Blanco,50,27,Juan Perez
24,2026-01-08,Vivero Llagamarca 2,Rosado,60,17,Lucia Vega
25,2026-01-12,Vivero Llagamarca 1,Rosado,50,8,Juan Perez
26,2026-01-12,Vivero Llagamarca 1,Rojoo,80,8,Juan Perez
27,2026-01-12,Vivero Llagamarca 1,amarillo ,80,17,Pedro Diaz
28,2026-01-12,Vivero Llagamarca 1,Blanco,60,8,Lucia Vega
29,2026-01-12,Vivero Llagamarca 2,Rosado,60,20,Maria Rojas
30,2026-01-12,Vivero Llagamarca 2,rosado,80,13,Maria Rojas
31,2026-01-12,Vivero Llagamarca 2,Amarillo,80,16,Juan Perez
32,2026-01-12,Vivero Llagamarca 2,Blanco,80,7,Pedro Diaz
33,2026-01-13,Vivero Llagamarca 1,Amarillo,60,29,Pedro Diaz
34,2026-01-13,Vivero Llagamarca 1,Amarillo,50,17,Maria Rojas
35,2026-01-13,Vivero Llagamarca 1,Rosado,60,,Juan Perez
36,2026-01-13,Vivero Llagamarca 1,Rosado,60,11,Pedro Diaz
37,2026-01-13,Vivero Llagamarca 2,Blanco,60,7,Maria Rojas
38,2026-01-13,Vivero Llagamarca 2,Blanco,50,20,Juan Perez
39,2026-01-13,Vivero Llagamarca 2,Blanco,80,7,Juan Perez
40,2026-01-13,Vivero Llagamarca 2,Amarillo,60,10,Pedro Diaz
41,2026-01-18,Vivero Llagamarca 1,Rosad0,60,17,Juan Perez
42,2026-01-18,Vivero Llagamarca 1,Amarillo,50,5,Lucia Vega
43,2026-01-18,Vivero Llagamarca 1,Amarillo,80,24,Pedro Diaz
44,2026-01-18,Vivero Llagamarca 1,Amarillo,50,5,Juan Perez
45,2026-01-18,Vivero Llagamarca 2,Amarillo,60,11,Maria Rojas
46,2026-01-18,Vivero Llagamarca 2,amarillo ,60,21,Pedro Diaz
47,2026-01-18,Vivero Llagamarca 2,Rosado,50,6,Pedro Diaz
48,2026-01-18,Vivero Llagamarca 2,Rosado,80,9,Juan Perez
49,2026-01-25,Vivero Llagamarca 1,Rojoo,50,9,Juan Perez
50,2026-01-25,Vivero Llagamarca 1,Blanco,80,21,Lucia Vega
51,2026-01-25,Vivero Llagamarca 1,Rojo,80,6,Pedro Diaz
52,2026-01-25,Vivero Llagamarca 1,ROJO,80,19,Juan Perez
53,2026-01-25,Vivero Llagamarca 2,Amarillo,80,13,Lucia Vega
54,2026-01-25,Vivero Llagamarca 2,Amarillo,80,21,Pedro Diaz
55,2026-01-25,Vivero Llagamarca 2,Amarillo,60,9,Lucia Vega
56,2026-01-25,Vivero Llagamarca 2,Rojo,80,12,Maria Rojas
57,2026-01-20,Vivero Llagamarca 1,Rojo,50,27,Pedro Diaz
58,2026-01-20,Vivero Llagamarca 1,Rojoo,60,12,Juan Perez
59,2026-01-20,Vivero Llagamarca 1,Rosado,50,26,Maria Rojas
60,2026-01-20,Vivero Llagamarca 1,Rosado,60,18,Pedro Diaz
61,2026-01-20,Vivero Llagamarca 2,rosado,50,15,Lucia Vega
62,2026-01-20,Vivero Llagamarca 2,Rosado,60,21,Juan Perez
63,2026-01-20,Vivero Llagamarca 2,amarillo ,50,7,Juan Perez
64,2026-01-20,Vivero Llagamarca 2,Amarillo,60,29,Lucia Vega
65,2026-01-23,Vivero Llagamarca 1,Blanco,60,9,Lucia Vega
66,2026-01-23,Vivero Llagamarca 1,Rojo,60,6,Maria Rojas
67,2026-01-23,Vivero Llagamarca 1,Rojo,60,5,Pedro Diaz
68,2026-01-23,Vivero Llagamarca 1,amarillo ,50,13,Lucia Vega
69,2026-01-23,Vivero Llagamarca 2,Rosad0,60,24,Maria Rojas
70,2026-01-23,Vivero Llagamarca 2,Amarillo,60,6,Pedro Diaz
71,2026-01-23,Vivero Llagamarca 2,Amarillo,60,19,Maria Rojas
72,2026-01-23,Vivero Llagamarca 2,Rojo,60,,Maria Rojas
72,2026-01-23,Vivero Llagamarca 2,Rojo,60,,Maria Rojas
73,2026-01-27,Vivero Llagamarca 1,Rosado,80,20,Lucia Vega
74,2026-01-27,Vivero Llagamarca 1,Blanco,80,11,Pedro Diaz
75,2026-01-27,Vivero Llagamarca 1,Amarillo,60,16,Maria Rojas
76,2026-01-27,Vivero Llagamarca 1,Blanc0,60,10,Lucia Vega
77,2026-01-27,Vivero Llagamarca 2,Blanco,80,12,Juan Perez
78,2026-01-27,Vivero Llagamarca 2,Amarillo,60,,Pedro Diaz
79,2026-01-27,Vivero Llagamarca 2,Blanco,50,6,Pedro Diaz
80,2026-01-27,Vivero Llagamarca 2,Amarillo,50,15,Lucia Vega
81,2026-01-29,Vivero Llagamarca 1,Amarillo,50,21,Juan Perez
82,2026-01-29,Vivero Llagamarca 1,Rojo,50,17,Lucia Vega
83,2026-01-29,Vivero Llagamarca 1,Blanc0,80,12,Maria Rojas
84,2026-01-29,Vivero Llagamarca 1,Rosado,60,28,Maria Rojas
85,2026-01-29,Vivero Llagamarca 2,Amarillo,50,27,Lucia Vega
86,2026-01-29,Vivero Llagamarca 2,Amarillo,80,29,Juan Perez
87,2026-01-29,Vivero Llagamarca 2,Amarillo,50,,Pedro Diaz
88,2026-01-29,Vivero Llagamarca 2,Rosado,60,22,Juan Perez
89,2026-01-26,Vivero Llagamarca 1,Amarillo,60,,Juan Perez
90,2026-01-26,Vivero Llagamarca 1,Rojo,80,21,Lucia Vega
91,2026-01-26,Vivero Llagamarca 1,Rojo,60,12,Maria Rojas
92,2026-01-26,Vivero Llagamarca 1,Rosado,60,17,Pedro Diaz
93,2026-01-26,Vivero Llagamarca 2,Amarillo,50,24,Pedro Diaz
94,2026-01-26,Vivero Llagamarca 2,Blanco,80,23,Lucia Vega
95,2026-01-26,Vivero Llagamarca 2,Blanc0,80,8,Lucia Vega
96,2026-01-26,Vivero Llagamarca 2,Blanco,60,19,Juan Perez
97,2026-02-06,Vivero Llagamarca 1,Rosado,50,14,Lucia Vega
98,2026-02-06,Vivero Llagamarca 1,Rosado,50,11,Juan Perez
99,2026-02-06,Vivero Llagamarca 1,Blanc0,60,9,Pedro Diaz
100,2026-02-06,Vivero Llagamarca 1,Blanco,50,20,Lucia Vega
101,2026-02-06,Vivero Llagamarca 2,Amarillo,50,20,Lucia Vega
102,2026-02-06,Vivero Llagamarca 2,Amarillo,60,16,Juan Perez
103,2026-02-06,Vivero Llagamarca 2,Rojo,60,29,Lucia Vega
104,2026-02-06,Vivero Llagamarca 2,amarillo ,80,5,Pedro Diaz
105,2026-02-03,Vivero Llagamarca 1,Rojo,60,17,Juan Perez
106,2026-02-03,Vivero Llagamarca 1,Rosado,60,6,Juan Perez
107,2026-02-03,Vivero Llagamarca 1,Blanco,80,9,Pedro Diaz
108,2026-02-03,Vivero Llagamarca 1,Blanco,50,29,Lucia Vega
109,2026-02-03,Vivero Llagamarca 2,Rosado,80,22,Juan Perez
110,2026-02-03,Vivero Llagamarca 2,Rosad0,60,24,Pedro Diaz
111,2026-02-03,Vivero Llagamarca 2,Amarillo,50,20,Pedro Diaz
112,2026-02-03,Vivero Llagamarca 2,Blanco,60,25,Lucia Vega
113,2026-02-04,Vivero Llagamarca 1,Rosado,50,10,Juan Perez
114,2026-02-04,Vivero Llagamarca 1,Rosado,80,12,Pedro Diaz
115,2026-02-04,Vivero Llagamarca 1,Rosado,60,9,Maria Rojas
116,2026-02-04,Vivero Llagamarca 1,rosado,80,7,Pedro Diaz
117,2026-02-04,Vivero Llagamarca 2,Amarillo,50,28,Lucia Vega
118,2026-02-04,Vivero Llagamarca 2,Amarillo,60,13,Juan Perez
119,2026-02-04,Vivero Llagamarca 2,Blanco,50,26,Maria Rojas
120,2026-02-04,Vivero Llagamarca 2,amarillo ,60,17,Lucia Vega
121,2026-02-15,Vivero Llagamarca 1,AMARILLO,80,,Lucia Vega
122,2026-02-15,Vivero Llagamarca 1,Rosado,60,12,Maria Rojas
123,2026-02-15,Vivero Llagamarca 1,Rojo,80,27,Lucia Vega
124,2026-02-15,Vivero Llagamarca 1,rojo,50,30,Juan Perez
125,2026-02-15,Vivero Llagamarca 2,Blanco,50,25,Lucia Vega
126,2026-02-15,Vivero Llagamarca 2,Rojo,50,7,Maria Rojas
127,2026-02-15,Vivero Llagamarca 2,Amarillo,80,,Pedro Diaz
128,2026-02-15,Vivero Llagamarca 2,Blanco,60,25,Maria Rojas
129,2026-02-09,Vivero Llagamarca 1,Amarillo,80,,Lucia Vega
130,2026-02-09,Vivero Llagamarca 1,Blanco,50,5,Lucia Vega
131,2026-02-09,Vivero Llagamarca 1,amarillo ,80,18,Maria Rojas
132,2026-02-09,Vivero Llagamarca 1,Blanco,80,18,Lucia Vega
133,2026-02-09,Vivero Llagamarca 2,Blanco,80,21,Lucia Vega
134,2026-02-09,Vivero Llagamarca 2,Blanco,50,12,Pedro Diaz
135,2026-02-09,Vivero Llagamarca 2,Blanco,50,24,Maria Rojas
136,2026-02-09,Vivero Llagamarca 2,Rosado,60,26,Maria Rojas
137,2026-02-10,Vivero Llagamarca 1,Rojo,50,5,Maria Rojas
138,2026-02-10,Vivero Llagamarca 1,Rojo,50,17,Pedro Diaz
139,2026-02-10,Vivero Llagamarca 1,Rojo,50,15,Lucia Vega
140,2026-02-10,Vivero Llagamarca 1,Rosad0,60,15,Juan Perez
141,2026-02-10,Vivero Llagamarca 2,Blanc0,50,16,Juan Perez
142,2026-02-10,Vivero Llagamarca 2,Amarillo,60,16,Pedro Diaz
143,2026-02-10,Vivero Llagamarca 2,Rosado,50,6,Maria Rojas
144,2026-02-10,Vivero Llagamarca 2,Rosado,50,15,Lucia Vega
144,2026-02-10,Vivero Llagamarca 2,Rosado,50,15,Lucia Vega
145,2026-02-19,Vivero Llagamarca 1,rojo,60,7,Juan Perez
146,2026-02-19,Vivero Llagamarca 1,Rojo,80,15,Pedro Diaz
147,2026-02-19,Vivero Llagamarca 1,Rojo,60,28,Pedro Diaz
148,2026-02-19,Vivero Llagamarca 1,Blanco,50,28,Juan Perez
149,2026-02-19,Vivero Llagamarca 2,amarillo ,50,20,Lucia Vega
150,2026-02-19,Vivero Llagamarca 2,Rosado,60,18,Maria Rojas
151,2026-02-19,Vivero Llagamarca 2,Amarillo,50,30,Pedro Diaz
152,2026-02-19,Vivero Llagamarca 2,Amarillo,80,12,Pedro Diaz
153,2026-02-17,Vivero Llagamarca 1,Rojo,80,11,Maria Rojas
154,2026-02-17,Vivero Llagamarca 1,Rojo,80,6,Pedro Diaz
155,2026-02-17,Vivero Llagamarca 1,Rosado,50,7,Juan Perez
156,2026-02-17,Vivero Llagamarca 1,Rosado,60,27,Maria Rojas
157,2026-02-17,Vivero Llagamarca 2,Rosado,60,24,Maria Rojas
158,2026-02-17,Vivero Llagamarca 2,Rojo,60,14,Pedro Diaz
159,2026-02-17,Vivero Llagamarca 2,Blanco,50,19,Maria Rojas
160,2026-02-17,Vivero Llagamarca 2,Blanco,80,11,Lucia Vega
161,2026-02-22,Vivero Llagamarca 1,Amarillo,80,21,Juan Perez
162,2026-02-22,Vivero Llagamarca 1,Rojo,50,5,Maria Rojas
163,2026-02-22,Vivero Llagamarca 1,Blanco,50,14,Juan Perez
164,2026-02-22,Vivero Llagamarca 1,Amarillo,50,16,Maria Rojas
165,2026-02-22,Vivero Llagamarca 2,Blanco,80,5,Pedro Diaz
166,2026-02-22,Vivero Llagamarca 2,Blanco,60,,Pedro Diaz
167,2026-02-22,Vivero Llagamarca 2,amarillo ,50,15,Pedro Diaz
168,2026-02-22,Vivero Llagamarca 2,Blanco,50,,Lucia Vega
168,2026-02-22,Vivero Llagamarca 2,Blanco,50,,Lucia Vega
169,2026-02-23,Vivero Llagamarca 1,Amarillo,80,22,Maria Rojas
170,2026-02-23,Vivero Llagamarca 1,Blanco,60,14,Lucia Vega
171,2026-02-23,Vivero Llagamarca 1,Blanco,80,23,Lucia Vega
172,2026-02-23,Vivero Llagamarca 1,Blanco,80,11,Lucia Vega
173,2026-02-23,Vivero Llagamarca 2,Rojo,60,10,Juan Perez
174,2026-02-23,Vivero Llagamarca 2,Blanco,60,29,Juan Perez
175,2026-02-23,Vivero Llagamarca 2,Rojoo,80,30,Juan Perez
176,2026-02-23,Vivero Llagamarca 2,Blanco,80,21,Pedro Diaz
177,2026-02-26,Vivero Llagamarca 1,Amarillo,50,8,Maria Rojas
178,2026-02-26,Vivero Llagamarca 1,Rojo,60,15,Lucia Vega
179,2026-02-26,Vivero Llagamarca 1,Rojoo,80,30,Lucia Vega
180,2026-02-26,Vivero Llagamarca 1,Amarillo,60,10,Juan Perez
181,2026-02-26,Vivero Llagamarca 2,Amarillo,60,16,Maria Rojas
182,2026-02-26,Vivero Llagamarca 2,Amarillo,50,22,Juan Perez
183,2026-02-26,Vivero Llagamarca 2,Blanco,50,17,Pedro Diaz
184,2026-02-26,Vivero Llagamarca 2,Blanco,80,12,Pedro Diaz
