id_cosecha,id_tiempo_dw,id_vivero_dw,id_color_dw,id_tamano_dw,cantidad_paquetes,trabajador
1,1,1,1,3,8,Juan Perez
2,1,1,2,1,7,Juan Perez
3,1,1,4,1,23,Maria Rojas
4,1,1,1,3,23,Maria Rojas
5,1,2,1,2,18,Juan Perez
6,1,2,2,1,23,Maria Rojas
7,1,2,1,3,6,Lucia Vega
8,1,2,4,2,19,Lucia Vega
9,2,1,2,1,27,Juan Perez
10,2,1,4,2,28,Juan Perez
11,2,1,4,1,29,Lucia Vega
12,2,1,1,3,23,Pedro Diaz
13,2,2,3,3,20,Lucia Vega
14,2,2,1,2,20,Juan Perez
15,2,2,3,3,23,Lucia Vega
17,3,1,1,2,6,Pedro Diaz
18,3,1,2,2,17,Lucia Vega
19,3,1,2,2,22,Maria Rojas
20,3,1,3,3,18,Lucia Vega
21,3,2,2,1,10,Maria Rojas
23,3,2,3,1,27,Juan Perez
24,3,2,4,2,17,Lucia Vega
25,4,1,4,1,8,Juan Perez
26,4,1,1,3,8,Juan Perez
27,4,1,2,3,17,Pedro Diaz
28,4,1,3,2,8,Lucia Vega
29,4,2,4,2,20,Maria Rojas
30,4,2,4,3,13,Maria Rojas
31,4,2,2,3,16,Juan Perez
32,4,2,3,3,7,Pedro Diaz
33,5,1,2,2,29,Pedro Diaz
34,5,1,2,1,17,Maria Rojas
36,5,1,4,2,11,Pedro Diaz
37,5,2,3,2,7,Maria Rojas
38,5,2,3,1,20,Juan Perez
39,5,2,3,3,7,Juan Perez
40,5,2,2,2,10,Pedro Diaz
41,6,1,4,2,17,Juan Perez
42,6,1,2,1,5,Lucia Vega
43,6,1,2,3,24,Pedro Diaz
44,6,1,2,1,5,Juan Perez
45,6,2,2,2,11,Maria Rojas
46,6,2,2,2,21,Pedro Diaz
47,6,2,4,1,6,Pedro Diaz
48,6,2,4,3,9,Juan Perez
49,7,1,1,1,9,Juan Perez
50,7,1,3,3,21,Lucia Vega
51,7,1,1,3,6,Pedro Diaz
52,7,1,1,3,19,Juan Perez
53,7,2,2,3,13,Lucia Vega
54,7,2,2,3,21,Pedro Diaz
55,7,2,2,2,9,Lucia Vega
56,7,2,1,3,12,Maria Rojas
57,8,1,1,1,27,Pedro Diaz
58,8,1,1,2,12,Juan Perez
59,8,1,4,1,26,Maria Rojas
60,8,1,4,2,18,Pedro Diaz
61,8,2,4,1,15,Lucia Vega
62,8,2,4,2,21,Juan Perez
63,8,2,2,1,7,Juan Perez
64,8,2,2,2,29,Lucia Vega
65,9,1,3,2,9,Lucia Vega
66,9,1,1,2,6,Maria Rojas
67,9,1,1,2,5,Pedro Diaz
68,9,1,2,1,13,Lucia Vega
69,9,2,4,2,24,Maria Rojas
70,9,2,2,2,6,Pedro Diaz
71,9,2,2,2,19,Maria Rojas
73,10,1,4,3,20,Lucia Vega
74,10,1,3,3,11,Pedro Diaz
75,10,1,2,2,16,Maria Rojas
76,10,1,3,2,10,Lucia Vega
77,10,2,3,3,12,Juan Perez
79,10,2,3,1,6,Pedro Diaz
80,10,2,2,1,15,Lucia Vega
81,11,1,2,1,21,Juan Perez
82,11,1,1,1,17,Lucia Vega
83,11,1,3,3,12,Maria Rojas
84,11,1,4,2,28,Maria Rojas
85,11,2,2,1,27,Lucia Vega
86,11,2,2,3,29,Juan Perez
88,11,2,4,2,22,Juan Perez
90,12,1,1,3,21,Lucia Vega
91,12,1,1,2,12,Maria Rojas
92,12,1,4,2,17,Pedro Diaz
93,12,2,2,1,24,Pedro Diaz
94,12,2,3,3,23,Lucia Vega
95,12,2,3,3,8,Lucia Vega
96,12,2,3,2,19,Juan Perez
97,13,1,4,1,14,Lucia Vega
98,13,1,4,1,11,Juan Perez
99,13,1,3,2,9,Pedro Diaz
100,13,1,3,1,20,Lucia Vega
101,13,2,2,1,20,Lucia Vega
102,13,2,2,2,16,Juan Perez
103,13,2,1,2,29,Lucia Vega
104,13,2,2,3,5,Pedro Diaz
105,14,1,1,2,17,Juan Perez
106,14,1,4,2,6,Juan Perez
107,14,1,3,3,9,Pedro Diaz
108,14,1,3,1,29,Lucia Vega
109,14,2,4,3,22,Juan Perez
110,14,2,4,2,24,Pedro Diaz
111,14,2,2,1,20,Pedro Diaz
112,14,2,3,2,25,Lucia Vega
113,15,1,4,1,10,Juan Perez
114,15,1,4,3,12,Pedro Diaz
115,15,1,4,2,9,Maria Rojas
116,15,1,4,3,7,Pedro Diaz
117,15,2,2,1,28,Lucia Vega
118,15,2,2,2,13,Juan Perez
119,15,2,3,1,26,Maria Rojas
120,15,2,2,2,17,Lucia Vega
122,16,1,4,2,12,Maria Rojas
123,16,1,1,3,27,Lucia Vega
124,16,1,1,1,30,Juan Perez
125,16,2,3,1,25,Lucia Vega
126,16,2,1,1,7,Maria Rojas
128,16,2,3,2,25,Maria Rojas
130,17,1,3,1,5,Lucia Vega
131,17,1,2,3,18,Maria Rojas
132,17,1,3,3,18,Lucia Vega
133,17,2,3,3,21,Lucia Vega
134,17,2,3,1,12,Pedro Diaz
135,17,2,3,1,24,Maria Rojas
136,17,2,4,2,26,Maria Rojas
137,18,1,1,1,5,Maria Rojas
138,18,1,1,1,17,Pedro Diaz
139,18,1,1,1,15,Lucia Vega
140,18,1,4,2,15,Juan Perez
141,18,2,3,1,16,Juan Perez
142,18,2,2,2,16,Pedro Diaz
143,18,2,4,1,6,Maria Rojas
144,18,2,4,1,15,Lucia Vega
145,19,1,1,2,7,Juan Perez
146,19,1,1,3,15,Pedro Diaz
147,19,1,1,2,28,Pedro Diaz
148,19,1,3,1,28,Juan Perez
149,19,2,2,1,20,Lucia Vega
150,19,2,4,2,18,Maria Rojas
151,19,2,2,1,30,Pedro Diaz
152,19,2,2,3,12,Pedro Diaz
153,20,1,1,3,11,Maria Rojas
154,20,1,1,3,6,Pedro Diaz
155,20,1,4,1,7,Juan Perez
156,20,1,4,2,27,Maria Rojas
157,20,2,4,2,24,Maria Rojas
158,20,2,1,2,14,Pedro Diaz
159,20,2,3,1,19,Maria Rojas
160,20,2,3,3,11,Lucia Vega
161,21,1,2,3,21,Juan Perez
162,21,1,1,1,5,Maria Rojas
163,21,1,3,1,14,Juan Perez
164,21,1,2,1,16,Maria Rojas
165,21,2,3,3,5,Pedro Diaz
167,21,2,2,1,15,Pedro Diaz
169,22,1,2,3,22,Maria Rojas
170,22,1,3,2,14,Lucia Vega
171,22,1,3,3,23,Lucia Vega
172,22,1,3,3,11,Lucia Vega
173,22,2,1,2,10,Juan Perez
174,22,2,3,2,29,Juan Perez
175,22,2,1,3,30,Juan Perez
176,22,2,3,3,21,Pedro Diaz
177,23,1,2,1,8,Maria Rojas
178,23,1,1,2,15,Lucia Vega
179,23,1,1,3,30,Lucia Vega
180,23,1,2,2,10,Juan Perez
181,23,2,2,2,16,Maria Rojas
182,23,2,2,1,22,Juan Perez
183,23,2,3,1,17,Pedro Diaz
184,23,2,3,3,12,Pedro Diaz
186,24,1,4,3,29,Maria Rojas
187,24,1,4,1,7,Lucia Vega
188,24,1,4,3,21,Juan Perez
189,24,2,1,3,15,Juan Perez
190,24,2,4,3,30,Juan Perez
191,24,2,1,1,9,Lucia Vega
192,24,2,2,3,30,Maria Rojas
193,25,1,3,2,9,Lucia Vega
194,25,1,3,3,21,Pedro Diaz
195,25,1,1,2,10,Pedro Diaz
196,25,1,4,1,30,Juan Perez
197,25,2,1,3,16,Lucia Vega
198,25,2,1,2,22,Lucia Vega
199,25,2,3,2,17,Maria Rojas
200,25,2,1,2,12,Juan Perez
201,26,1,3,2,25,Pedro Diaz
202,26,1,1,1,9,Lucia Vega
203,26,1,3,1,9,Juan Perez
204,26,1,1,3,16,Pedro Diaz
205,26,2,4,3,14,Maria Rojas
207,26,2,4,1,7,Pedro Diaz
208,26,2,3,1,6,Pedro Diaz
209,27,1,4,3,21,Maria Rojas
210,27,1,1,1,6,Lucia Vega
211,27,1,2,1,29,Maria Rojas
212,27,1,2,3,24,Lucia Vega
213,27,2,2,3,14,Juan Perez
215,27,2,4,1,28,Maria Rojas
216,27,2,1,2,12,Juan Perez
217,28,1,3,3,22,Pedro Diaz
219,28,1,2,1,28,Maria Rojas
220,28,1,3,3,12,Lucia Vega
221,28,2,1,1,18,Maria Rojas
222,28,2,3,1,17,Juan Perez
224,28,2,2,2,9,Juan Perez
225,29,1,1,3,7,Juan Perez
226,29,1,3,1,22,Juan Perez
227,29,1,4,1,12,Juan Perez
228,29,1,1,3,25,Juan Perez
